"Format","MoTeC CSV File",,,"Workbook",""
"Venue","monza",,,"Worksheet",""
"Vehicle","McLaren 720S GT3 Evo",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","01/06/2025",,,"Origin Time","0.000","s"
"Log Time","19:40:55",,,"Start Time","0.000","s"
"Sample Rate","20.000","Hz",,"End Time","284.870","s"
"Duration","284.870","s",,"Start Distance","0","m"
"Range","entire outing",,,"End Distance","7405","m"
"Beacon Markers","170.657 "


"Time","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0.00","0.00","-0","0.0","0","100","0","-0","100","0","0","0","9","9","20","20","21","21","21","21","26","27","25","26","70","70","70","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0.050","0","-0.00","0.00","-0","0.0","0","100","0","0","100","0","0","0","9","9","20","20","21","21","21","21","26","27","25","26","70","70","70","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","5","1227","2","3","2","0"
"0.100","0","0.00","0.00","-0","0.0","0","100","0","-0","100","0","0","0","9","9","20","20","21","21","21","21","26","27","25","26","70","70","70","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","5","1227","2","3","2","0"
"0.150","0","-0.00","-0.00","-0","0.0","0","100","0","0","100","0","0","0","9","9","20","20","21","21","21","21","26","27","25","26","70","70","70","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","5","1227","2","3","2","0"
"0.200","0","0.00","-0.00","-0","0.0","0","100","0","0","100","0","0","0","9","9","20","20","21","21","21","21","26","27","25","26","70","70","70","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","5","1227","2","3","2","0"
"0.250","0","-0.00","-0.00","-0","0.0","0","100","0","0","100","0","0","0","9","9","20","20","21","21","21","21","26","27","25","26","70","70","70","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","5","1227","2","3","1","0"
"0.300","0","-0.00","-0.00","-0","0.0","0","100","0","0","100","0","0","0","9","9","20","20","21","21","21","21","26","27","25","26","70","70","70","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","5","1226","2","2","1","0"
